subject_id_temporary	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	subject_source	subject_source_version	object_source	object_source_version	mapping_cardinality	confidence	comment
mbmvpax44	area 8 of cortex caudal part	skos:broadMatch	UBERON:0013539	Brodmann (1909) area 8	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0013539	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	Entry not parcellated further in UBERON
mbmvpax45	area 8a of cortex dorsal part	skos:broadMatch	UBERON:0013539	Brodmann (1909) area 8	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0013539	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	Entry not parcellated further in UBERON
mbmvpax46	area 8a of cortex ventral par	skos:broadMatch	UBERON:0013539	Brodmann (1909) area 8	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0013539	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	Entry not parcellated further in UBERON
mbmvpax47	area 8b of cortex	skos:broadMatch	UBERON:0013539	Brodmann (1909) area 8	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0013539	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	Entry not parcellated further in UBERON
mbmvpax48	area 9 of cortex	skos:exactMatch	UBERON:0013540	Brodmann (1909)	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0013540	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	Entry not parcellated further in UBERON
mbmvpax49	agranular insular cortex	skos:exactMatch	UBERON:0034893	agranular insular cortex	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0034893	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	
mbmvpax50	anterior intraparietal area of cortex	skos:broadMatch	UBERON:0002913	intraparietal sulcus	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0002913	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	
mbmvpax51	amygdalopiriform transition area	skos:exactMatch	UBERON:0034989	amygdalopiriform transition area	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0034989	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	
mbmvpax52	auditory cortex primary area	skos:exactMatch	UBERON:0034751	primary auditory cortex	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0034751	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	
mbmvpax53	auditory cortex anterolateral area	skos:broadMatch	UBERON:0034752	secondary auditory cortex	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	 http://purl.obolibrary.org/obo/UBERON_0034752	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	" The core is surrounded by eight areas that belong to the belt region (light shading) (CM, caudomedial; CL, caudolateral; MM, middle medial; ML, middle lateral; RM, rostromedial; AL, anterolateral; RTM, rostrotemporal medial; RTL, rostrotemporal lateral)" https://www.sciencedirect.com/topics/psychology/auditory-cortex
